Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Mucker  n. Slang friend, mate. [probably from muck in: related to *muck]
Stone-cold  adj. Completely cold.
Kneecap  -n. 1 convex bone in front of the knee. 2 protective covering for the knee. -v. (-pp-) slang (of a terrorist) shoot (a person) in the knee or leg as a punishment.
Dilly-dally  v. (-ies, -ied) colloq. 1 dawdle. 2 vacillate. [reduplication of *dally]
Postprandial  adj. Formal or joc. After dinner or lunch. [latin prandium a meal]
Passim  adv. Throughout; at several points in a book, article, etc. [latin]
Rueful  adj. Genuinely or humorously sorrowful.  ruefully adv. Ruefulness n. [from *rue1]
Sock1  n. 1 knitted covering for the foot and lower leg. 2 insole.  pull one's socks up colloq. Make an effort to improve. Put a sock in it slang be quiet. [old english socc from greek sukkhos slipper]
News  n.pl. (usu. Treated as sing.) 1 information about important or interesting recent events, esp. When published or broadcast. 2 (prec. By the) broadcast report of news. 3 newly received or noteworthy information. [from *new]
Mussel  n. Bivalve mollusc, esp. Of the kind used for food. [old english: related to *muscle]
Sandwich  -n. 1 two or more slices of bread with a filling. 2 layered cake with jam or cream. -v. 1 put (a thing, statement, etc.) Between two of another character. 2 squeeze in between others (sat sandwiched in the middle). [from the earl of sandwich]
Divert  v. 1 a turn aside; deflect. B distract (attention). 2 (often as diverting adj.) Entertain; amuse. [latin: related to *diverse]
Lethal  adj. Causing or sufficient to cause death.  lethally adv. [latin letum death]
Forasmuch as  conj. Archaic because, since. [from for as much]
-ed2  suffix forming: 1 past tense and past participle of weak verbs (needed). 2 participial adjectives (escaped prisoner). [old english]
Answerphone  n. = *answering machine.
Lactation  n. 1 secretion of milk. 2 suckling. [latin: related to *lactic]
Iom  abbr. Isle of man.
Hereabouts  adv. (also hereabout) near this place.
Maker  n. 1 person who makes. 2 (maker) god.
Hammock  n. Bed of canvas or rope network suspended by cords at the ends. [spanish from carib]
Operative  -adj. 1 in operation; having effect. 2 having the main relevance (‘may’ is the operative word). 3 of or by surgery. -n. Worker, esp. A skilled one. [latin: related to *operate]
Monody  n. (pl. -ies) 1 ode sung by a single actor in a greek tragedy. 2 poem lamenting a person's death.  monodist n. [greek: related to *mono-, *ode]
Running sore  n. Suppurating sore; festering situation etc.
Syllable  n. 1 unit of pronunciation forming the whole or part of a word and usu. Having one vowel sound often with consonant(s) before or after (e.g. Water has two, inferno three). 2 character(s) representing a syllable. 3 the least amount of speech or writing.  in words of one syllable plainly, bluntly. [greek sullabe]
Butter muslin  n. Thin loosely-woven cloth, orig. For wrapping butter.
Heater  n. Stove or other heating device.
Discovery  n. (pl. -ies) 1 discovering or being discovered. 2 person or thing discovered.
Flying officer  n. Raf rank next below flight lieutenant.
Lengthways  adv. In a direction parallel with a thing's length.
Cancer  n. 1 a malignant tumour of body cells. B disease caused by this. 2 evil influence or corruption. 3 (cancer) a constellation and fourth sign of the zodiac (the crab). B person born when the sun is in this sign.  cancerous adj. Cancroid adj. [latin, = crab]
Lunatic asylum  n. Hist. Mental home or hospital.
Slump  -n. Sudden severe or prolonged fall in prices and trade, usu. Bringing widespread unemployment. -v. 1 undergo a slump. 2 sit or fall heavily or limply. [imitative]
G7  attrib. Adj. Designating the world's seven richest nations. [group of seven]
Everlasting  -adj. 1 lasting for ever or for a long time. 2 (of flowers) keeping their shape and colour when dried. -n. 1 eternity. 2 everlasting flower.
Self-righteous  adj. Smugly sure of one's rightness.  self-righteously adv. Self-righteousness n.
Credo  n. (pl. -s) creed. [latin, = i believe]
Elementary  adj. 1 dealing with the simplest facts of a subject. 2 unanalysable.
Standstill  n. Stoppage; inability to proceed.
Kerb drill  n. Precautions before crossing a road.
Fledge  v. (-ging) 1 provide or deck (an arrow etc.) With feathers. 2 bring up (a young bird) until it can fly. 3 (as fledged adj.) A able to fly. B independent; mature. [obsolete adj. Fledge fit to fly]
Guarded  adj. (of a remark etc.) Cautious.  guardedly adv.
Gracious  -adj. 1 kind; indulgent and beneficent to inferiors. 2 (of god) merciful, benign. -int. Expressing surprise.  graciously adv. Graciousness n. [latin: related to *grace]
Eland  n. (pl. Same or -s) large african antelope. [dutch]
Night  n. 1 period of darkness between one day and the next; time from sunset to sunrise. 2 nightfall. 3 darkness of night. 4 night or evening appointed for some activity regarded in a certain way (last night of the proms). [old english]
Maj.  Abbr. Major.
Gloaming  n. Scot. Or poet. Twilight. [old english]
Crash2  n. Coarse plain fabric of linen, cotton, etc. [russian]
Surface mail  n. Mail carried by land or sea.
Demagogue  n. (us -gog) political agitator appealing to mob instincts.  demagogic adj. Demagogy n. [greek, = leader of the people]
Fixedly  adv. Intently.
Foist  v. (foll. By on) force (a thing or oneself) on to an unwilling person. [dutch vuisten take in the hand]
Fart  coarse slang -v. 1 emit wind from the anus. 2 (foll. By about, around) behave foolishly. -n. 1 an emission of wind from the anus. 2 unpleasant or foolish person. [old english]
Drawing-room  n. 1 room in a private house for sitting or entertaining in. 2 (attrib.) Restrained, polite (drawing-room manners). [earlier withdrawing-room]
Indefeasible  adj. Literary (esp. Of a claim, rights, etc.) That cannot be forfeited or annulled.  indefeasibly adv.
King charles spaniel  n. Small black and tan spaniel.
Modify  v. (-ies, -ied) 1 make less severe or extreme. 2 make partial changes in. 3 gram. Qualify or expand the sense of (a word etc.). [latin: related to *mode]
Acorn  n. Fruit of the oak, with a smooth nut in a cuplike base. [old english]
Pip5  n. 1 disease of poultry etc. 2 colloq. Fit of disgust or bad temper (esp. Give one the pip). [low german or dutch]
Coalman  n. Man who carries or delivers coal.
Multiple sclerosis  see *sclerosis.
Synthesis  n. (pl. -theses) 1 a combining of elements into a whole. B result of this. 2 chem. Artificial production of compounds from their constituents as distinct from extraction from plants etc. [greek, = placing together]
Première  -n. First performance or showing of a play or film. -v. (-ring) give a première of. [french feminine: related to *premier]
Radio  -n. (pl. -s) 1 (often attrib.) A transmission and reception of sound messages etc. By electromagnetic waves of radio frequency. B apparatus for receiving, broadcasting, or transmitting radio signals. 2 a sound broadcasting (prefers the radio). B broadcasting station or channel (radio one). -v. (-es, -ed) 1 a send (a message) by radio. B send a message to (a person) by radio. 2 communicate or broadcast by radio. [short for radio-telegraphy etc.]
Palestinian  -adj. Of palestine. -n. 1 native of palestine. 2 arab, or a descendant of one, born or living in the area formerly called palestine.
Romanticize  v. (also -ise) (-zing or -sing) 1 make romantic; exaggerate (romanticized account). 2 indulge in romantic thoughts or actions.
Ode  n. Lyric poem of exalted style and tone. [greek oide song]
Plunge  -v. (-ging) 1 (usu. Foll. By in, into) a thrust forcefully or abruptly. B dive. C (cause to) enter a condition or embark on a course impetuously (they plunged into marriage; the room was plunged into darkness). 2 immerse completely. 3 a move suddenly and dramatically downward. B (foll. By down, into, etc.) Move with a rush (plunged down the stairs). 4 colloq. Run up gambling debts. -n. Plunging action or movement; dive.  take the plunge colloq. Take a decisive step. [romanic: related to *plumb]
Doppler effect  n. Increase (or decrease) in the frequency of sound, light, etc. Waves caused by moving nearer to (or further from) the source. [doppler, name of a physicist]
Hepatitis  n. Inflammation of the liver. [related to *hepatic]
Adipose  adj. Of fat; fatty (adipose tissue).  adiposity n. [latin adeps fat]
Squirm  -v. 1 wriggle, writhe. 2 show or feel embarrassment. -n. Squirming movement. [imitative]
Countless  adj. Too many to be counted.
Nickel  n. 1 silver-white metallic element, used esp. In magnetic alloys. 2 colloq. Us five-cent coin. [german]
Backache  n. Ache in the back.
Denationalize  v. (also -ise) (-zing or -sing) transfer (an industry etc.) From public to private ownership.  denationalization n.
Hindustani  n. Language based on hindi, used as a lingua franca in much of india. [from *hindu, stan country]
Pagan  -n. Non-religious person, pantheist, or heathen, esp. In pre-christian times. -adj. 1 a of pagans. B irreligious. 2 pantheistic.  paganism n. [latin paganus from pagus country district]
Brigantine  n. Two-masted ship with a square-rigged foremast and a fore-and-aft rigged mainmast. [french or italian: related to *brigand]
Hz  abbr. Hertz.
Rubidium  n. Soft silvery metallic element. [latin rubidus red]
Spectator  n. Person who watches a show, game, incident, etc.  spectate v. (-ting) informal. [latin: related to *spectacle]
Pin-up  n. 1 photograph of a popular or sexually attractive person, hung on the wall. 2 person in such a photograph.
Stinger  n. Stinging animal or thing, esp. A sharp blow.
More  -adj. Greater in quantity or degree; additional (more problems than last time; bring some more water). -n. Greater quantity, number, or amount (more than three people; more to it than meets the eye). -adv. 1 to a greater degree or extent. 2 forming the comparative of adjectives and adverbs, esp. Those of more than one syllable (more absurd; more easily).  more and more to an increasing degree. More of to a greater extent. More or less approximately; effectively; nearly. What is more as an additional point. [old english]
Con-  see *com-.
Breastplate  n. Armour covering the breast.
Lake2  n. 1 reddish pigment orig. Made from lac. 2 pigment obtained by combining an organic colouring matter with a metallic oxide, hydroxide, or salt. [var. Of *lac]
Apprehension  n. 1 uneasiness, dread. 2 understanding. 3 arrest, capture.
Puissant  adj. Literary or archaic powerful; mighty. [romanic: related to *potent]
Insentient  adj. Not sentient; inanimate.
Pro tempore  adj. & adv. For the time being. [latin]
Ad  n. Colloq. Advertisement. [abbreviation]
Condemn  v. 1 express utter disapproval of. 2 a find guilty; convict. B (usu. Foll. By to) sentence to (a punishment). 3 pronounce (a building etc.) Unfit for use. 4 (usu. Foll. By to) doom or assign (to something unpleasant).  condemnation n. Condemnatory adj. [latin: related to *damn]
Bore3  n. High tidal wave in an estuary. [scandinavian]
Non-sectarian  adj. Not sectarian.
Electric chair  n. Electrified chair used for capital punishment.
Kelt  var. Of *celt.
French horn  n. Coiled brass wind instrument with a wide bell.
Decision  n. 1 act or process of deciding. 2 resolution made after consideration (made my decision). 3 (often foll. By of) a settlement of a question. B formal judgement. 4 resoluteness. [latin: related to *decide]
Heave  -v. (-ving; past and past part. Heaved or esp. Naut. Hove) 1 lift or haul with great effort. 2 utter with effort (heaved a sigh). 3 colloq. Throw. 4 rise and fall rhythmically or spasmodically. 5 naut. Haul by rope. 6 retch. -n. Heaving.  heave in sight come into view. Heave to esp. Naut. Bring or be brought to a standstill. [old english]
Dialog  n. (brit. Dialogue) 1 a conversation. B this in written form. 2 discussion between people with different opinions. [greek lego speak]
Bonus  n. Extra benefit or payment. [latin, = good]
Furtherance  n. Furthering of a scheme etc.
Legation  n. 1 diplomatic minister and his or her staff. 2 this minister's official residence. [latin: related to *legate]
Leukemia  n. (brit. Leukaemia) malignant disease in which the bone-marrow etc. Produces too many leucocytes. [greek leukos white, haima blood]
Conventicle  n. Esp. Hist. Secret or unlawful religious meeting, esp. Of dissenters. [latin: related to *convene]
Pot-belly  n. 1 protruding stomach. 2 person with this.
Reopen  v. Open again.
Gunboat diplomacy  n. Political negotiation backed by the threat of force.
